Time,BTC,ETH,BCH,XMR,DASH,BTC_volume,ETH_volume,BCH_volume,XMR_volume,DASH_volume
02/03/21 12:00 AM,35496.91,1513.62,430.74,152.31,111,13629319.2911131,3496554.84522706,27552283.2629343,30642378.2652237,10171737.57495
02/03/21 01:00 AM,36148.18,1520.02,434.73,152.1,112.708282,10245528.798594,3400203.46544293,13333760.5554029,22337796.899538,818464.531106981
02/03/21 02:00 AM,35890.54,1519.97,433,153.69,110.68093991,7101324.89853126,2749754.77888876,85544278.9152347,38362973.1982602,35488.1621386643
02/03/21 03:00 AM,35919.09,1531.67,437.89,154.14,111.35055079,10304190.8896078,4321882.15293864,37158550.7966037,5457622.5055088,0
02/03/21 04:00 AM,36442.95,1542,440.47,154.85,111.57157404,17569657.2741857,5673601.14056302,34262445.2979605,41242548.1495266,15985921.8954218
02/03/21 05:00 AM,36669.6,1555.64,439.54,154.77,112.76905353,5775163.85173673,3172037.71971274,9756180.02876424,18017683.5023964,1606397.21542086
02/03/21 06:00 AM,36509.53,1545.14,438.21,155.34,113.77570209,5158464.17336097,5304124.10410517,17563549.8531683,33447499.4967335,6647123.0256873
02/03/21 07:00 AM,36560.82,1566.42,442.98,155.25,114.75951091,5747792.99410583,7260281.04325905,19587073.8895744,4277664.6211706,2358975.64528207
02/03/21 08:00 AM,36331.56,1549.93,437.61,153.28,116.71112727,13083698.8230011,10387004.930247,20533124.6487951,22829520.975725,16247647.4864535
02/03/21 09:00 AM,36079.15,1529.95,434.74,152.61,115.03852858,11198127.0313807,7960325.78036878,32538238.797617,13946241.087456,14943776.7975182
02/03/21 10:00 AM,35871.56,1530.52,434.05,152.3,117.53780189,7612865.78270116,5939426.1032786,6319858.46514126,3071485.5308592,14065981.1949333
02/03/21 11:00 AM,36047.97,1550.37,438.93,153.54,117.44644628,7509151.04009567,3935877.05401004,45959627.0585267,4446836.9246301,3712979.19909699
02/03/21 12:00 PM,35987.73,1538.97,432.23,153.19,116.70455827,18772535.9049419,5937139.43781486,14392848.0396408,16990912.010218,6005412.55150066
02/03/21 01:00 PM,36243.88,1540.21,432.34,153.81,115.65954862,34801153.4527145,6915995.67364142,8294835.36687216,8389346.9561298,9693423.91652113
02/03/21 02:00 PM,36600,1553.6,437.98,154.6,116.27068668,14600911.1497697,4427238.26298504,30455650.3742568,27337049.6167461,13897274.0169944
02/03/21 03:00 PM,36619.58,1559.09,435.97,154.34,114.7,25055877.0341354,13145537.8930641,74590547.2518723,20126002.412817,2706117.668912
02/03/21 04:00 PM,36917.62,1600.17,441.7,154.57,115.27707904,25786824.7209056,19393746.8648112,88275830.217267,4932907.355503,4622631.18593641
